SPEED,HOUR,DAY_OF_WEEK
26,12,6
24,21,2
52,11,4
21,13,5
16,19,2
49,20,4
25,6,3
25,5,3
16,18,4
25,7,5
25,20,4
34,11,5
24,18,5
25,12,4
27,6,7
16,15,5
18,1,7
25,11,3
38,1,3
19,17,5
24,15,7
22,22,6
20,2,4
25,10,3
24,11,7
30,2,4
21,8,4
24,14,4
25,6,6
12,19,2
31,19,5
27,10,3
20,16,7
29,5,3
20,14,7
20,3,4
23,19,4
23,14,6
22,18,3
23,7,3
23,15,7
24,6,3
26,13,4
43,13,4
22,22,3
43,23,6
21,19,4
24,14,4
26,1,4
23,10,5
27,3,6
25,14,3
31,1,3
27,16,7
27,14,7
17,16,5
25,15,3
31,8,3
30,16,7
17,10,4
28,16,7
19,17,7
23,16,7
31,21,3
23,11,6
27,21,3
23,18,6
33,22,5
22,15,6
20,22,4
26,19,7
43,19,5
25,11,5
21,2,4
19,21,3
22,16,4
25,10,6
27,0,6
23,1,4
27,5,7
31,14,5
23,8,7
20,21,4
23,7,7
24,11,6
54,11,6
23,5,7
29,23,6
18,11,6
21,14,3
54,12,7
18,16,3
21,4,4
31,6,3
25,11,3
29,5,6
18,11,4
28,8,5
32,14,4
25,7,6
31,18,7
18,23,2
20,13,6
32,8,7
18,22,3
28,8,6
30,4,5
32,15,3
21,21,2
26,16,3
27,16,6
44,23,6
14,12,4
37,7,7
28,4,3
25,6,3
50,15,4
32,9,3
22,22,4
49,20,5
25,4,4
23,19,7
16,14,7
31,21,6
29,12,5
24,1,3
20,11,7
27,19,6
20,9,4
16,21,7
27,16,5
23,12,7
31,3,5
29,16,6
14,9,6
25,22,7
22,14,4
27,9,5
25,3,7
22,12,5
21,19,2
25,8,7
20,12,3
36,15,4
18,19,2
27,22,5
20,23,2
26,15,6
25,21,2
25,12,3
23,6,5
33,10,4
21,5,4
20,11,5
33,7,3
18,7,4
22,8,4
31,10,4
20,16,4
30,0,3
35,18,6
21,12,5
20,20,5
27,13,3
24,23,4
26,11,7
25,12,5
33,19,3
23,4,3
21,12,6
53,14,3
24,3,4
25,12,7
20,15,7
27,7,3
28,6,6
25,21,6
24,12,3
24,3,3
21,6,7
25,14,3
23,13,5
15,15,4
45,21,2
25,22,6
23,18,4
19,12,5
28,4,4
23,17,3
18,9,6
27,16,7
25,7,6
20,11,7
23,18,2
21,21,3
27,20,7
26,5,6
16,19,2
25,22,6
17,12,7
24,12,7
31,19,2
23,20,5
25,15,6
18,17,7
22,18,3
26,22,5
25,5,5
28,10,4
30,16,4
55,6,4
25,22,6
18,7,4
34,5,5
21,13,7
18,17,6
28,18,3
18,22,7
39,1,7
29,10,4
18,22,2
31,12,3
25,7,6
23,21,6
30,5,6
23,10,5
25,22,6
19,13,4
27,0,4
23,14,3
25,5,3
22,9,6
19,10,4
20,11,4
